Department Codes,Total Number of Courses
AANL,2
AKKD,7
ANTH,129
ARAB,50
ARAM,5
ARCH,59
ARME,6
ARTH,103
ARTV,78
ASLG,8
ASTR,30
BANG,7
BASQ,9
BCSN,11
BIOS,167
BUSN,32
CATA,18
CEGU,98
CHDV,51
CHEM,67
CHIN,58
CLCV,57
CMLT,80
CMSC,86
CMST,78
COGS,20
CRES,3
CRWR,96
CZEC,6
DATA,23
DEMS,15
DIGS,12
EALC,66
ECMA,23
ECON,93
EGPT,7
ENGL,153
ENSC,21
ENST,122
FNDL,77
FREN,92
GEEZ,1
GEOS,42
GISC,22
GLST,86
GNSE,143
GREK,16
GRMN,36
HEBR,20
HIND,12
HIPS,88
HIST,185
HMRT,72
HUMA,39
IRHU,9
ITAL,82
JAPN,18
JWSC,45
KAZK,3
KORE,18
KREY,7
LACS,76
LATN,18
LING,51
LLSO,48
MAAD,101
MACS,17
MAPS,1
MARA,12
MATH,68
MDVL,63
MENG,65
MOGK,7
MUSI,81
NEAA,14
NEHC,103
NELG,3
NORW,7
NSCI,53
PBPL,110
PERS,8
PHIL,45
PHSC,29
PHYS,29
PLSC,78
POLI,8
PORT,22
PPHA,1
PSYC,62
RDIN,63
REES,74
RLST,130
RUSS,14
SALC,73
SANS,6
SCPD,10
SOCI,49
SOSC,107
SPAN,93
SSAD,14
STAT,46
SUMR,8
SWAH,7
TAML,6
TAPS,52
TBTN,6
TURK,20
URDU,6
UZBK,4
YDDH,5
